T(K),B(Oe),B(T),Cp(mu J/K)
1.2941085,-0.062,-6.2E-6,40.990591
1.2971771,-0.062,-6.2E-6,38.509989
1.300406,-0.062,-6.2E-6,36.465838
1.3037681,-0.062,-6.2E-6,34.926813
1.3072308,-0.062,-6.2E-6,34.01256
1.310753,-0.062,-6.2E-6,33.264064
1.3142989,-0.062,-6.2E-6,32.57441
0.70265245,1999.775,0.1999775,16.56955
0.75042416,1999.775,0.1999775,18.543137
0.79267167,1999.775,0.1999775,20.287876
0.83087132,1999.775,0.1999775,22.017802
0.86571381,1999.775,0.1999775,23.751049
0.89767234,1999.775,0.1999775,25.519601
0.92714578,1999.775,0.1999775,27.3403
0.95438172,1999.775,0.1999775,29.261443
0.97961693,1999.775,0.1999775,31.179191
1.0030198,1999.775,0.1999775,33.258492
1.0247021,1999.775,0.1999775,35.541973
1.0447848,1999.775,0.1999775,38.1154
1.0633105,1999.775,0.1999775,41.040818
1.080244,1999.775,0.1999775,44.775695
1.0954207,1999.775,0.1999775,49.708213
1.1092849,1999.775,0.1999775,54.948681
1.1226839,1999.775,0.1999775,57.059852
1.135894,1999.775,0.1999775,55.539016
1.1492811,1999.775,0.1999775,51.317822
1.1631382,1999.775,0.1999775,47.087651
1.1778474,1999.775,0.1999775,44.626582
1.1932482,1999.775,0.1999775,43.942169
1.2086473,1999.775,0.1999775,43.786727
1.224008,1999.775,0.1999775,43.986868
1.2390221,1999.775,0.1999775,44.576353
1.2536686,1999.775,0.1999775,45.633525
1.2682564,1999.775,0.1999775,45.839531
1.2834941,1999.775,0.1999775,43.415177
1.2996395,1999.775,0.1999775,39.535216
1.3168449,1999.775,0.1999775,35.243378
1.3354104,1999.775,0.1999775,31.716931
1.3555587,1999.775,0.1999775,29.335944
1.3769007,1999.775,0.1999775,28.025493
1.3989106,1999.775,0.1999775,26.916189
1.4215706,1999.775,0.1999775,25.877311
1.4446412,1999.775,0.1999775,25.012736
1.4680504,1999.775,0.1999775,24.266869
1.491783,1999.775,0.1999775,23.455064
1.515847,1999.775,0.1999775,22.813599
