T,Field,Field,C\-(p) (J\f:m(�)mole\+(-1)\f:m(�)K\+(-1))
1.29546,5999.912,0.5999912,10973.015
1.31845,5999.912,0.5999912,8706.5453
1.34144,5999.912,0.5999912,7559.6378
1.36443,5999.912,0.5999912,6912.4406
1.38742,5999.912,0.5999912,6454.0532
1.41041,5999.912,0.5999912,6091.062
1.4334,5999.912,0.5999912,5781.9523
1.45639,5999.912,0.5999912,5528.7206
1.47938,5999.912,0.5999912,5300.6066
1.50237,5999.912,0.5999912,5086.3297
1.52536,5999.912,0.5999912,4890.2909
1.54835,5999.912,0.5999912,4715.6361
0.64652,6999.924,0.6999924,4744.2286
0.66993,6999.924,0.6999924,5037.4121
0.69334,6999.924,0.6999924,5326.0754
0.71675,6999.924,0.6999924,5618.8911
0.74016,6999.924,0.6999924,5925.6289
0.76357,6999.924,0.6999924,6258.3209
0.78698,6999.924,0.6999924,6628.0511
0.81039,6999.924,0.6999924,7013.8398
0.8338,6999.924,0.6999924,7393.0276
0.85721,6999.924,0.6999924,7756.7669
0.88062,6999.924,0.6999924,8125.841
0.90403,6999.924,0.6999924,8605.8169
0.92744,6999.924,0.6999924,9303.8377
0.95085,6999.924,0.6999924,10350.703
0.97426,6999.924,0.6999924,12531.233
0.99767,6999.924,0.6999924,13462.805
1.02108,6999.924,0.6999924,12409.092
1.04449,6999.924,0.6999924,11266.587
1.0679,6999.924,0.6999924,10849.398
1.0913,6999.924,0.6999924,10719.61
1.11471,6999.924,0.6999924,10675.202
1.13812,6999.924,0.6999924,10642.635
1.16153,6999.924,0.6999924,10656.215
1.18494,6999.924,0.6999924,10689.24
1.20835,6999.924,0.6999924,10776.656
1.23176,6999.924,0.6999924,10974.566
1.25517,6999.924,0.6999924,11267.673
1.27858,6999.924,0.6999924,11841.74
1.30199,6999.924,0.6999924,11150.093
1.3254,6999.924,0.6999924,8760.0374
1.34881,6999.924,0.6999924,7428.0982
1.37222,6999.924,0.6999924,6713.036
1.39563,6999.924,0.6999924,6218.4662
1.41904,6999.924,0.6999924,5826.2036
1.44245,6999.924,0.6999924,5516.9396
1.46586,6999.924,0.6999924,5246.1866
1.48927,6999.924,0.6999924,5019.6231
1.51268,6999.924,0.6999924,4799.1187
1.53609,6999.924,0.6999924,4619.5693
1.5595,6999.924,0.6999924,4439.6986
0.64041,7999.807,0.7999807,4743.141
0.66429,7999.807,0.7999807,5047.1327
0.68816,7999.807,0.7999807,5348.6049
0.71204,7999.807,0.7999807,5652.1248
0.73591,7999.807,0.7999807,5968.7344
0.75978,7999.807,0.7999807,6316.7185
0.78366,7999.807,0.7999807,6706.5269
0.80753,7999.807,0.7999807,7117.2963
0.83141,7999.807,0.7999807,7522.7165
0.85528,7999.807,0.7999807,7909.7046
0.87915,7999.807,0.7999807,8292.9668
0.90303,7999.807,0.7999807,8888.4522
0.9269,7999.807,0.7999807,10401.442
0.95078,7999.807,0.7999807,11127.579
0.97465,7999.807,0.7999807,11473.316
0.99852,7999.807,0.7999807,10701.751
1.0224,7999.807,0.7999807,10594.224
1.04627,7999.807,0.7999807,10477.916
1.07015,7999.807,0.7999807,10343.319
1.09402,7999.807,0.7999807,10345.757
1.11789,7999.807,0.7999807,10365.92
1.14177,7999.807,0.7999807,10409.192
1.16564,7999.807,0.7999807,10447.364
1.18951,7999.807,0.7999807,10521.519
1.21339,7999.807,0.7999807,10604.897
1.23726,7999.807,0.7999807,10757.715
1.26114,7999.807,0.7999807,11021.218
1.28501,7999.807,0.7999807,11533.219
1.30888,7999.807,0.7999807,11401.482
1.33276,7999.807,0.7999807,8977.5693
1.35663,7999.807,0.7999807,7376.1395
1.38051,7999.807,0.7999807,6551.9892
1.40438,7999.807,0.7999807,6009.0278
1.42825,7999.807,0.7999807,5605.9985
1.45213,7999.807,0.7999807,5273.7911
1.476,7999.807,0.7999807,4991.028
1.49988,7999.807,0.7999807,4742.1418
1.52375,7999.807,0.7999807,4534.6179
1.54762,7999.807,0.7999807,4343.6275
1.5715,7999.807,0.7999807,4171.6631
0.63412,8999.867,0.8999867,4744.3023
0.65848,8999.867,0.8999867,5062.4211
0.68284,8999.867,0.8999867,5379.937
0.7072,8999.867,0.8999867,5697.9787
0.73156,8999.867,0.8999867,6026.0566
0.75592,8999.867,0.8999867,6391.7175
0.78028,8999.867,0.8999867,6809.5655
0.80464,8999.867,0.8999867,7266.0945
