# ha  Sx  Sy  Sz
6.700000000000000178e+00 9.292401332841333517e-01 0.000000000000000000e+00 3.347015800004355471e-06
6.799999999999999822e+00 9.427199031481331426e-01 0.000000000000000000e+00 3.858870200007524956e-06
6.900000000000000355e+00 9.561996611535331647e-01 0.000000000000000000e+00 4.398501266666965223e-06
7.000000000000000000e+00 9.696673054018002391e-01 0.000000000000000000e+00 5.745168666668496307e-06
7.099999999999999645e+00 9.830534776009999254e-01 0.000000000000000000e+00 3.584243333329098015e-06
7.200000000000000178e+00 9.956133436076661791e-01 0.000000000000000000e+00 3.542185999974578508e-07
7.299999999999999822e+00 9.999999943020000392e-01 0.000000000000000000e+00 6.666666715319798252e-14
7.400000000000000355e+00 9.999999992775998603e-01 -6.666666666666665607e-14 6.666666640027981419e-14
7.500000000000000000e+00 9.999999997281998620e-01 1.838179139006728237e-26 6.666666662615526595e-14
7.599999999999999645e+00 9.999999998579330862e-01 -1.286725397304709737e-25 1.333333331770187189e-13
7.700000000000000178e+00 9.999999999134667750e-01 6.666666666644814791e-14 1.505836350674311771e-22
7.799999999999999822e+00 9.999999999411337548e-01 -6.666666666666873866e-14 -6.666666702143730969e-14
7.900000000000000355e+00 9.999999999572000142e-01 5.882173244821530357e-25 1.129377263005733770e-22
