   0.333   0.333   0.168        53    100000      2245     9.39   125.46     0.07     1.20     1.20     3.20
   0.333   0.333   0.170        43    100000      2248     9.39   125.30     0.07     1.20     1.20     3.20
   0.333   0.333   0.173        54    100000      2239     9.39   125.13     0.07     1.20     1.20     3.20
   0.333   0.333   0.176        46    100000      2248     9.41   124.96     0.07     1.20     1.20     3.20
   0.333   0.333   0.178        59    100000      2251     9.41   124.80     0.07     1.20     1.20     3.20
   0.333   0.333   0.181        51    100000      2251     9.41   124.63     0.07     1.20     1.20     3.20
   0.333   0.333   0.184        49    100000      2245     9.41   124.46     0.07     1.20     1.20     3.20
   0.333   0.333   0.186        33    100000      2248     9.43   124.30     0.07     1.20     1.20     3.20
   0.333   0.333   0.189        54    100000      2248     9.43   124.13     0.07     1.20     1.20     3.20
   0.333   0.333   0.192        45    100000      2244     9.43   123.97     0.07     1.20     1.20     3.20
   0.333   0.333   0.195        47    100000      2240     9.45   123.80     0.07     1.20     1.20     3.20
   0.333   0.333   0.197        41    100000      2238     9.45   123.64     0.07     1.20     1.20     3.20
   0.333   0.333   0.200        49    100000      2248     9.45   123.47     0.07     1.20     1.20     3.20
